Age,Height,Weight,Sport,
23,182,70,0,
24,179,60,0,
26,185,84,0,
24,183,83,0,
23,186,80,0,
20,192,87,0,
27,195,87,0,
24,185,75,0,
20,193,80,0,
27,206,114,1,
21,182,72,0,
22,183,76,0,
30,186,84,1,
20,178,69,0,
20,213,111,1,
24,184,74,0,
28,193,95,0,
19,179,71,0,
29,208,115,1,
25,193,87,0,
24,180,73,0,
32,194,90,0,
23,180,73,0,
23,193,83,0,
28,207,102,1,
20,190,78,0,
26,194,95,1,
28,202,91,0,
26,179,74,0,
29,188,82,0,
22,184,80,0,
22,191,95,0,
20,183,78,0,
29,198,90,1,
18,192,74,0,
33,215,110,1,
25,189,78,0,
25,177,72,0,
26,175,77,0,
22,184,72,0,
25,183,82,0,
23,191,85,1,
22,185,81,0,
26,185,82,0,
28,191,95,1,
21,188,85,0,
24,167,95,0,
29,203,107,1,
24,186,84,0,
25,185,76,0,
16,184,72,0,
20,180,70,0,
24,212,113,1,
24,203,86,1,
18,175,65,0,
24,193,78,0,
22,169,62,0,
20,183,71,0,
23,183,72,0,
24,188,79,0,
19,187,78,0,
24,221,110,1,
